user_id,age,number_dependents,last_month_salary_median,total_loans,default_flag,more_90_days_overdue,using_lines_not_secured_personal_assets,debt_ratio,risk_age,risk_dependents,risk_salary,risk_loans,risk_overdue,risk_lines_not_secured,risk_debt_ratio,risk_score,segmentation,segmentation_num
29602,23,0,820,1,0,0,"0,9999999",0,1,0,1,1,0,2,0,5,menor risco,0
32614,25,0,2745,1,0,0,"0,9999999",0,1,0,1,1,0,2,0,5,menor risco,0
15697,25,0,5416,1,0,0,"0,9999999",0,1,0,1,1,0,2,0,5,menor risco,0
22475,26,0,600,1,0,0,"0,862758161","0,063227953",1,0,1,1,0,2,2,7,maior risco,1
33610,29,0,5416,1,0,0,"0,054495459",19,1,0,1,1,0,0,2,5,menor risco,0
31867,35,0,5416,1,0,0,"0,9999999",232,1,0,1,1,0,2,2,7,maior risco,1
18080,35,0,3750,1,0,0,"0,9999999",0,1,0,1,1,0,2,0,5,menor risco,0
25674,39,0,438,1,0,1,"0,9999999","0,908883827",1,0,1,1,2,2,2,9,maior risco,1
16167,48,0,2015,1,0,3,"0,9999999","0,261904762",1,0,1,1,2,2,2,9,maior risco,1
34639,54,0,4000,1,0,0,"0,9999999","0,087728068",0,0,1,1,0,2,2,6,menor risco,0
536,59,0,5416,1,0,0,"0,17879106",107,0,0,1,1,0,0,2,4,menor risco,0
14473,59,0,5416,1,0,0,"0,063630579",21,0,0,1,1,0,0,2,4,menor risco,0
8414,75,0,5416,1,0,0,"0,058901326",54,0,0,1,1,0,0,2,4,menor risco,0
6231,75,0,3285,1,0,0,"0,9999999","0,003651856",0,0,1,1,0,2,2,6,menor risco,0
22004,80,0,5416,1,0,0,"0,153491473",82,0,0,1,1,0,0,2,4,menor risco,0
11845,91,0,5416,1,0,0,0,0,0,0,1,1,0,0,0,2,menor risco,0
7779,22,0,100,1,0,0,"0,9999999",0,1,0,1,1,0,2,0,5,menor risco,0
21887,22,0,526,1,0,0,"0,504983389","0,007590133",1,0,1,1,0,0,2,5,menor risco,0
5523,26,0,2917,1,0,0,"0,9999999","0,125085675",1,0,1,1,0,2,2,7,maior risco,1
17957,34,0,5416,1,0,0,"0,9999999",469,1,0,1,1,0,2,2,7,maior risco,1
139,43,0,5416,1,0,0,"0,9999999",1247,1,0,1,1,0,2,2,7,maior risco,1
